artist,genre,songs,artistimage
1,1,Perfect,"edsheeran,jpg"
1,1,Shape of you,"edsheeran,jpg"
1,1,Photograph,"edsheeran,jpg"
1,1,Supermarker Flowers,"edsheeran,jpg"
1,1,Dive,"edsheeran,jpg"
1,1,Happier,"edsheeran,jpg"
1,1,Thinking out loud,"edsheeran,jpg"
2,1,Blank Space,"taylorswift,jpg"
2,1,Shake it off,"taylorswift,jpg"
2,1,Anti Hero,"taylorswift,jpg"
2,1,Love Story,"taylorswift,jpg"
2,1,You belong with me,"taylorswift,jpg"
2,1,Bad blood,"taylorswift,jpg"
2,1,Enchanted,"taylorswift,jpg"
3,1,Baby,justinbieber.jpg
3,1,Sorry,justinbieber.jpg
3,1,Love Yourself,justinbieber.jpg
3,1,What Do You Mean,justinbieber.jpg
3,1,Yummy,justinbieber.jpg
3,1,Intentions,justinbieber.jpg
3,1,Never Say Never,justinbieber.jpg
4,1,"Thank U, Next",arianagrande.jpg
4,1,7 Rings,arianagrande.jpg
4,1,No Tears Left to Cry,arianagrande.jpg
4,1,God is a woman,arianagrande.jpg
4,1,Breathin,arianagrande.jpg
4,1,Break Free,arianagrande.jpg
4,1,Into You,arianagrande.jpg
5,1,Firework,katyperry.jpg
5,1,Roar,katyperry.jpg
5,1,Dark Horse,katyperry.jpg
5,1,Teenage Dream,katyperry.jpg
5,1,California Gurls,katyperry.jpg
5,1,Hot N Cold,katyperry.jpg
5,1,Last Friday Night,katyperry.jpg
6,2,Hotel California,eagles.jpg
6,2,Take It Easy,eagles.jpg
6,2,Desperado,eagles.jpg
6,2,Life in the Fast Lane,eagles.jpg
6,2,Tequila Sunrise,eagles.jpg
6,2,Lyin' Eyes,eagles.jpg
6,2,Peaceful Easy Feeling,eagles.jpg
7,2,Highway to Hell,acdc.jpg
7,2,Back in Black,acdc.jpg
7,2,Thunderstruck,acdc.jpg
7,2,You Shook Me All Night Long,acdc.jpg
7,2,Hells Bells,acdc.jpg
7,2,T.N.T.,acdc.jpg
7,2,Shoot to Thrill,acdc.jpg
8,2,All Out of Love,"airsupply,jpg"
8,2,Making Love Out of Nothing at All,"airsupply,jpg"
8,2,Lost in Love,"airsupply,jpg"
8,2,The One That You Love,"airsupply,jpg"
8,2,Even the Nights Are Better,"airsupply,jpg"
8,2,Every Woman in the World,"airsupply,jpg"
8,2,Here I Am ,"airsupply,jpg"
9,2,Hey Jude,thebeatles.jpg
9,2,Let It Be,thebeatles.jpg
9,2,Yesterday,thebeatles.jpg
9,2,Come Together,thebeatles.jpg
9,2,Help!,thebeatles.jpg
